,Primary_estimate,Sensitivity_estimate,Primary_SE,Sensitivity_SE,Primary_p,Sensitivity_p,Estimate_change
Intercept,1.121458450304956,1.1330377466647479,0.2054426914606508,0.21061610687539808,4.795225589083836e-08,7.46370735711493e-08,0.011579296359791824
C(Scanner)[T.Dual sensor],-0.02994417615805282,-0.029944176158053264,0.09371055381322588,0.08426621529614595,0.7493178264839632,0.7223258324043405,-4.440892098500626e-16
C(Scanner)[T.Hovermap],-0.060380306512530575,-0.06038030651253094,0.09371055381322588,0.08426621529614595,0.5193629507261562,0.4736565669777356,-3.677613769070831e-16
C(Workflow)[T.RCT],-0.06135625180832344,-0.0613562518083229,0.09371055381322597,0.0842662152961459,0.5126337664268694,0.46653769760743036,5.412337245047638e-16
C(Terrain)[T.Intermediate],-0.20400369200671037,-0.20400369200670315,0.22670883289542362,0.2349363558016634,0.368200671571277,0.38521042782462556,7.216449660063518e-15
C(Terrain)[T.Challenging],0.03374004675872044,0.007909308725330728,0.2245183580190245,0.23271088458682174,0.8805457216994208,0.9728869556100517,-0.025830738033389714
C(Scanner)[T.Dual sensor]:C(Workflow)[T.RCT],0.16792334372723422,0.09844756556844161,0.1325267361401579,0.11979733343992732,0.20512299849181503,0.41119968134781937,-0.0694757781587926
C(Scanner)[T.Hovermap]:C(Workflow)[T.RCT],0.11621334432705145,0.11621334432705084,0.13252673614015792,0.11917042452166066,0.38053829440902265,0.32946794410352065,-6.106226635438361e-16
