Analysis,Terrain,Scanner,Attribute,n,RMSE_3DFin,RMSE_RCT,Delta_RMSE_RCT_minus_3DFin,CI_lower,CI_upper,CI_excludes_zero
Primary,Challenging,Dual sensor,TH,13,2.495764829324268,2.657308581426529,0.16154375210226135,-1.2564425331554694,1.8179464487107404,False
Sensitivity excluding GT2,Challenging,Dual sensor,TH,12,2.5976508848081585,1.909157447235123,-0.6884934375730356,-1.5326018428874748,0.016647693665239372,False
