Attribute,Factor,Level,EMM_sqrt_abs_error,SE,CI_lower_sqrt,CI_upper_sqrt,Back_transformed,Back_CI_lower,Back_CI_upper,Unit
TH,Scanner,Single sensor,1.0340257759847977,0.09215338581814578,0.853405139781232,1.2146464121883636,1.069209305400963,0.7283003326050241,1.475365906642064,m
TH,Scanner,Dual sensor,1.0880432716903619,0.0921533858181458,0.907422635486796,1.2686639078939277,1.1838381610706665,0.8234158393938027,1.6095081111926923,m
TH,Scanner,Hovermap,1.0317521416357929,0.09215338581814582,0.851131505432227,1.2123727778393587,1.064512481770045,0.7244248395393291,1.469847752445923,m
TH,Workflow,3DFin,1.034595740998765,0.08809336444789458,0.8619327466808916,1.2072587353166382,1.0703883472927835,0.7429280598008661,1.4574736539983286,m
TH,Workflow,RCT,1.0679517185418699,0.08809336444789459,0.8952887242239965,1.2406147128597433,1.1405208731365333,0.8015418997226313,1.5391248657640635,m
TH,Terrain,Easy,1.1080282781863142,0.19633560854975818,0.7232104854287882,1.4928460709438403,1.227726665260528,0.5230334062341434,2.2285893915324615,m
TH,Terrain,Intermediate,0.9040245861796038,0.11335441644771158,0.6818499299420892,1.1261992424171186,0.8172604524172039,0.46491932696203186,1.2683247336208918,m
TH,Terrain,Challenging,1.1417683249450348,0.10890740058855035,0.9283098197914761,1.3552268300985935,1.3036349078477905,0.8617591215212828,1.8366397610190819,m
DBH,Scanner,Single sensor,0.1768235161242408,0.008356000925818851,0.16044575430963584,0.19320127793884576,3.126655585453965,2.574284007598803,3.732673379720313,cm
DBH,Scanner,Dual sensor,0.1780541989160819,0.00835600092581885,0.16167643710147694,0.19443196073068686,3.170329775164766,2.613927031382783,3.7803787353579357,cm
DBH,Scanner,Hovermap,0.1882821417185896,0.008356000925818848,0.17190437990398466,0.20465990353319452,3.5450164890139053,2.9551115830173487,4.188567611421648,cm
DBH,Workflow,3DFin,0.1507749300403399,0.007175833761833214,0.1367102958671468,0.164839564213533,2.273307952866939,1.8689704996082819,2.717208193010747,cm
DBH,Workflow,RCT,0.2113316411322683,0.007175833761833216,0.1972670069590752,0.22539627530546139,4.4661062543657835,3.891427203459182,5.080348092157534,cm
DBH,Terrain,Easy,0.2161868262901047,0.012440176905990726,0.19180407955436288,0.2405695730258465,4.67367438613879,3.6788804933696366,5.78737194658381,cm
DBH,Terrain,Intermediate,0.1449345087190544,0.008144007475763434,0.12897225406655805,0.16089676337155073,2.1006011817633654,1.6633842319008798,2.588776846344079,cm
DBH,Terrain,Challenging,0.18203852174975324,0.008796533449386322,0.16479731618895604,0.19927972731055044,3.313802340083538,2.7158155423082753,3.9712409716967345,cm
