Terrain,Scanner,Attribute,n,Group_mean_delta,Max_tree_ID,Max_tree_delta,Leverage_ratio
Intermediate,Dual sensor,TH,22,-0.32499090909090905,16,-3.1189,9.596883828918292
Intermediate,Hovermap,TH,22,-0.18059090909090889,15,-1.4532999999999987,8.047470425371259
Challenging,Dual sensor,DBH,19,-0.0024105263157894754,29,-0.01579999999999998,6.554585152838415
Intermediate,Hovermap,DBH,22,-0.006186363636363635,15,-0.0398,6.433504775900076
Intermediate,Dual sensor,DBH,22,-0.006381818181818183,15,-0.0396,6.205128205128204
Easy,Dual sensor,TH,9,-0.43719999999999953,34,-2.302299999999999,5.266010978957002
Easy,Hovermap,TH,9,0.028511111111110585,27,0.0934999999999988,3.2794232268121775
