Model,Observations,Trees,Random_intercept_variance,Residual_variance,Residual_skewness
Primary,174,29,0.13296832065645953,0.12733418449173156,0.5368018552304338
Sensitivity,173,29,0.1484250191512842,0.10296152808487806,-0.20107356427834502
