Comparison,Estimate,SE,z,p_raw,CI_lower,CI_upper,p_Holm,Significant_Holm
Easy - Intermediate,0.0712523175710503,0.014868855343221134,4.792051299600206,1.6508467608272943e-06,0.04210936109833688,0.10039527404376372,4.952540282481883e-06,True
Easy - Challenging,0.03414830454035144,0.015236042864816226,2.2412843573188077,0.025007661562474262,0.004285660525311642,0.06401094855539124,0.025007661562474262,True
Intermediate - Challenging,-0.03710401303069886,0.011987654419921485,-3.0951854075004173,0.0019668990309924745,-0.060599815693744966,-0.013608210367652748,0.003933798061984949,True
