Terrain,N_GT,Rotation_deg,First_anchor_error_m,Second_anchor_error_m,Max_pairwise_distance_change_m,Audit_passed
Easy,9,19.269103190590936,0.0,0.06210101297765831,5.329070518200751e-15,True
Intermediate,22,-17.602299691645502,0.0,0.31551520079549905,5.329070518200751e-15,True
Challenging,27,30.854696145064192,0.0,0.12464431245923703,7.105427357601002e-15,True
