Terrain,Scanner,Attribute,Original_n,Removed_tree,n_after_removal,Original_mean,LOO_mean,LOO_CI_lower,LOO_CI_upper,LOO_CI_excludes_zero,Robustness
Intermediate,Dual sensor,TH,22,16,21,-0.32499090909090905,-0.191947619047619,-0.4445428571428568,0.004019047619047726,False,Not robust
Intermediate,Hovermap,TH,22,15,21,-0.18059090909090889,-0.11998571428571413,-0.2633571428571425,0.0,False,Not robust
Challenging,Dual sensor,DBH,19,29,18,-0.0024105263157894754,-0.0016666666666666696,-0.00384444444444445,0.00014444444444443652,False,Not robust
Intermediate,Hovermap,DBH,22,15,21,-0.006186363636363635,-0.004585714285714284,-0.00978095238095238,0.0,False,Not robust
Intermediate,Dual sensor,DBH,22,15,21,-0.006381818181818183,-0.004800000000000001,-0.01020952380952381,-0.00027619047619047615,True,Robust
Easy,Dual sensor,TH,9,34,8,-0.43719999999999953,-0.2040624999999996,-0.5556874999999999,-0.010574999999999335,True,Robust
Easy,Hovermap,TH,9,27,8,0.028511111111110585,0.02038749999999956,0.004437499999999873,0.04184999999999928,True,Robust
