Terrain,Scanner,segment_id,GT_ID,GT_TH,before_TH,after_TH,before_TH_error,after_TH_error,before_TH_abs_error,after_TH_abs_error,TH_delta_abs_error,GT_DBH,before_DBH,after_DBH,before_DBH_error,after_DBH_error,before_DBH_abs_error,after_DBH_abs_error,DBH_delta_abs_error,attribute_value_source,source_clean_file
Easy,Single sensor,0,21,31.4,29.6019,29.6801,-1.798099999999998,-1.719899999999999,1.798099999999998,1.719899999999999,-0.07819999999999894,0.627,0.5106,0.4994,-0.11639999999999995,-0.1276,0.11639999999999995,0.1276,0.011200000000000043,cleaned,
Easy,Single sensor,1,13,21.9,22.346999999999998,22.3077,0.4469999999999992,0.40770000000000195,0.4469999999999992,0.40770000000000195,-0.039299999999997226,0.248,0.2292,0.2292,-0.01880000000000001,-0.01880000000000001,0.01880000000000001,0.01880000000000001,0.0,cleaned,
Easy,Single sensor,2,20,22.5,26.3665,26.3665,3.8664999999999985,3.8664999999999985,3.8664999999999985,3.8664999999999985,0.0,0.45299999999999996,0.32899999999999996,0.32899999999999996,-0.124,-0.124,0.124,0.124,0.0,original,
Easy,Single sensor,3,17,16.8,19.9813,19.9813,3.1813000000000002,3.1813000000000002,3.1813000000000002,3.1813000000000002,0.0,0.35100000000000003,0.2686,0.2686,-0.08240000000000003,-0.08240000000000003,0.08240000000000003,0.08240000000000003,0.0,original,
Easy,Single sensor,4,27,30.5,28.3266,28.2832,-2.173400000000001,-2.216799999999999,2.173400000000001,2.216799999999999,0.04339999999999833,0.488,0.4376,0.4348,-0.0504,-0.05319999999999997,0.0504,0.05319999999999997,0.002799999999999969,cleaned,
Easy,Single sensor,6,6,27.7,26.9184,26.9184,-0.781600000000001,-0.781600000000001,0.781600000000001,0.781600000000001,0.0,0.631,0.5086,0.5086,-0.12239999999999995,-0.12239999999999995,0.12239999999999995,0.12239999999999995,0.0,original,
Easy,Single sensor,7,33,27.8,28.9578,28.9578,1.1577999999999982,1.1577999999999982,1.1577999999999982,1.1577999999999982,0.0,0.596,0.4658,0.4658,-0.13019999999999998,-0.13019999999999998,0.13019999999999998,0.13019999999999998,0.0,original,
Easy,Single sensor,8,34,25.2,26.7968,27.0095,1.5968000000000018,1.8094999999999999,1.5968000000000018,1.8094999999999999,0.2126999999999981,0.5489999999999999,0.4474,0.44799999999999995,-0.10159999999999991,-0.10099999999999998,0.10159999999999991,0.10099999999999998,-0.0005999999999999339,cleaned,
Easy,Single sensor,9,31,23.9,25.5125,25.4234,1.6125000000000007,1.5234000000000023,1.6125000000000007,1.5234000000000023,-0.0890999999999984,0.5579999999999999,0.4556,0.4552,-0.10239999999999994,-0.10279999999999995,0.10239999999999994,0.10279999999999995,0.00040000000000001146,cleaned,
Easy,Dual sensor,0,21,31.4,30.4447,30.487,-0.9552999999999976,-0.9130000000000003,0.9552999999999976,0.9130000000000003,-0.04229999999999734,0.627,0.5148,0.5026,-0.11219999999999997,-0.12439999999999996,0.11219999999999997,0.12439999999999996,0.012199999999999989,cleaned,
Easy,Dual sensor,1,13,21.9,24.0135,22.607,2.113500000000002,0.7070000000000007,2.113500000000002,0.7070000000000007,-1.4065000000000012,0.248,0.231,0.2296,-0.016999999999999987,-0.0184,0.016999999999999987,0.0184,0.0014000000000000123,cleaned,
Easy,Dual sensor,2,20,22.5,26.7186,26.6743,4.218599999999999,4.174299999999999,4.218599999999999,4.174299999999999,-0.044299999999999784,0.45299999999999996,0.3368,0.3326,-0.11619999999999997,-0.12039999999999995,0.11619999999999997,0.12039999999999995,0.0041999999999999815,cleaned,
Easy,Dual sensor,3,17,16.8,20.0183,20.0183,3.2182999999999993,3.2182999999999993,3.2182999999999993,3.2182999999999993,0.0,0.35100000000000003,0.2638,0.2638,-0.08720000000000006,-0.08720000000000006,0.08720000000000006,0.08720000000000006,0.0,original,
Easy,Dual sensor,4,27,30.5,28.8655,29.0049,-1.6344999999999992,-1.4951000000000008,1.6344999999999992,1.4951000000000008,-0.13939999999999841,0.488,0.42100000000000004,0.419,-0.06699999999999995,-0.069,0.06699999999999995,0.069,0.0020000000000000573,cleaned,
Easy,Dual sensor,6,6,27.7,27.2505,27.2505,-0.44950000000000045,-0.44950000000000045,0.44950000000000045,0.44950000000000045,0.0,0.631,0.5076,0.5076,-0.12339999999999995,-0.12339999999999995,0.12339999999999995,0.12339999999999995,0.0,original_reprocessing_exception,
Easy,Dual sensor,7,33,27.8,29.4419,29.4419,1.6418999999999997,1.6418999999999997,1.6418999999999997,1.6418999999999997,0.0,0.596,0.46799999999999997,0.46799999999999997,-0.128,-0.128,0.128,0.128,0.0,original,
Easy,Dual sensor,8,34,25.2,27.5779,25.2756,2.3779000000000003,0.07560000000000144,2.3779000000000003,0.07560000000000144,-2.302299999999999,0.5489999999999999,0.45399999999999996,0.4564,-0.09499999999999997,-0.09259999999999996,0.09499999999999997,0.09259999999999996,-0.0024000000000000132,cleaned,
Easy,Dual sensor,9,31,23.9,25.7792,25.7792,1.8792000000000009,1.8792000000000009,1.8792000000000009,1.8792000000000009,0.0,0.5579999999999999,0.4532,0.4532,-0.10479999999999995,-0.10479999999999995,0.10479999999999995,0.10479999999999995,0.0,original,
Easy,Hovermap,1,21,31.4,30.9946,30.9466,-0.4054000000000002,-0.45339999999999847,0.4054000000000002,0.45339999999999847,0.047999999999998266,0.627,0.4948,0.4856,-0.13219999999999998,-0.14140000000000003,0.13219999999999998,0.14140000000000003,0.009200000000000041,cleaned_merged_H0_into_H1,
Easy,Hovermap,2,13,21.9,22.6445,22.7241,0.7445000000000022,0.8241000000000014,0.7445000000000022,0.8241000000000014,0.07959999999999923,0.248,0.2164,0.217,-0.03159999999999999,-0.031,0.03159999999999999,0.031,-0.0005999999999999894,cleaned,
