Terrain,Scanner,GT_ID,Tree_ID,Attribute,Stage,GT_value,Predicted_value,Error,Absolute_error,ID_confidence,TH_validated
Easy,Single sensor,6,4,TH,Pre-TH-QC,27.7,26.21955485233403,-1.480445147665968,1.480445147665968,HIGH,True
Easy,Single sensor,6,4,TH,Post-QC,27.7,26.21955485233403,-1.480445147665968,1.480445147665968,HIGH,True
Easy,Single sensor,6,4,DBH,Pre-TH-QC,0.631,0.6356333444910457,0.004633344491045688,0.004633344491045688,HIGH,
Easy,Single sensor,6,4,DBH,Post-QC,0.631,0.6356333444910457,0.004633344491045688,0.004633344491045688,HIGH,
Easy,Dual sensor,6,4,TH,Pre-TH-QC,27.7,26.00764518662208,-1.6923548133779178,1.6923548133779178,HIGH,True
Easy,Dual sensor,6,4,TH,Post-QC,27.7,26.00764518662208,-1.6923548133779178,1.6923548133779178,HIGH,True
Easy,Dual sensor,6,4,DBH,Pre-TH-QC,0.631,0.6144029144282799,-0.016597085571720127,0.016597085571720127,HIGH,
Easy,Dual sensor,6,4,DBH,Post-QC,0.631,0.6144029144282799,-0.016597085571720127,0.016597085571720127,HIGH,
Easy,Hovermap,6,4,TH,Pre-TH-QC,27.7,26.8144351690689,-0.8855648309310986,0.8855648309310986,HIGH,True
Easy,Hovermap,6,4,TH,Post-QC,27.7,26.8144351690689,-0.8855648309310986,0.8855648309310986,HIGH,True
Easy,Hovermap,6,4,DBH,Pre-TH-QC,0.631,0.620277717996346,-0.010722282003653993,0.010722282003653993,HIGH,
Easy,Hovermap,6,4,DBH,Post-QC,0.631,0.620277717996346,-0.010722282003653993,0.010722282003653993,HIGH,
Easy,Single sensor,13,7,TH,Pre-TH-QC,21.9,25.09223018286223,3.1922301828622324,3.1922301828622324,HIGH,False
Easy,Single sensor,13,7,DBH,Pre-TH-QC,0.248,0.2892316058561659,0.04123160585616592,0.04123160585616592,HIGH,
Easy,Single sensor,13,7,DBH,Post-QC,0.248,0.2892316058561659,0.04123160585616592,0.04123160585616592,HIGH,
Easy,Dual sensor,13,7,TH,Pre-TH-QC,21.9,25.39717714895223,3.4971771489522325,3.4971771489522325,HIGH,False
Easy,Dual sensor,13,7,DBH,Pre-TH-QC,0.248,0.2776562382981482,0.029656238298148174,0.029656238298148174,HIGH,
Easy,Dual sensor,13,7,DBH,Post-QC,0.248,0.2776562382981482,0.029656238298148174,0.029656238298148174,HIGH,
Easy,Hovermap,13,8,TH,Pre-TH-QC,21.9,25.8178662147513,3.917866214751303,3.917866214751303,HIGH,False
